"Registry Time","Total Events","Opens","Closes","Reads","Writes","Other","Path"
"0.0000329","8","0","0","8","0","0","HKLM\SOFTWARE\Microsoft\Internet Explorer\AdvancedOptions\CRYPTO\CERTREV\PlugUIText"
"0.0000508","24","8","8","0","8","0","HKLM\SOFTWARE\Microsoft\Ole"
"0.0000406","12","4","4","0","4","0","HKLM\SOFTWARE\Microsoft\Ole\AppCompat"
"0.0000120","4","0","0","4","0","0","HKLM\SOFTWARE\Microsoft\Ole\AppCompat\RaiseActivationAuthenticationLevel"
"0.0000059","2","0","0","2","0","0","HKLM\SOFTWARE\Microsoft\Ole\LegacyAuthenticationLevel"
"0.0000065","2","0","0","2","0","0","HKLM\SOFTWARE\Microsoft\Ole\LegacyImpersonationLevel"
"0.0000212","6","0","0","6","0","0","HKLM\SOFTWARE\Microsoft\Ole\MaxSxSHashCount"
"0.0001673","60","20","20","0","20","0","HKLM\SOFTWARE\Microsoft\Rpc\SecurityService"
"0.0000747","20","0","0","20","0","0","HKLM\SOFTWARE\Microsoft\Rpc\SecurityService\DefaultAuthLevel"
"0.0000530","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Audit\SystemPolicy\System\SecuritySystemExtension"
"0.0000284","8","0","0","8","0","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Audit\SystemPolicy\System\SecuritySystemExtension\DisplayName"
"0.0000938","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\BackgroundModel\EventSettings\148"
"0.0000104","2","0","0","2","0","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\BackgroundModel\EventSettings\148\(Default)"
"0.0000506","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\_V2Providers\{1ffc4a37-aabd-49e0-8b3d-fce8b099febb}"
"0.0000140","4","0","0","4","0","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\_V2Providers\{1ffc4a37-aabd-49e0-8b3d-fce8b099febb}\ProviderType"
"0.0000440","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\_V2Providers\{3def464b-f31b-4117-8fb7-bb829a0e1a15}\{59ceb84f-55ff-48c0-80cc-df0068501814}"
"0.0000163","4","0","0","4","0","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\_V2Providers\{3def464b-f31b-4117-8fb7-bb829a0e1a15}\{59ceb84f-55ff-48c0-80cc-df0068501814}\First Counter"
"0.0001692","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\_V2Providers\{cc629d13-f318-4c40-b1ed-d70bce524515}"
"0.0000157","4","0","0","4","0","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib\_V2Providers\{cc629d13-f318-4c40-b1ed-d70bce524515}\ProviderType"
"0.0000391","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Iran Standard Time"
"0.0000304","8","0","0","8","0","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Iran Standard Time\Dlt"
"0.0002205","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{3A0DBA37-F8B2-4356-83DE-3E90BD5C261F}"
"0.0000296","8","0","0","8","0","0","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{3A0DBA37-F8B2-4356-83DE-3E90BD5C261F}\(Default)"
"0.0000580","12","4","4","0","4","0","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModelUnlock"
"0.0000106","4","0","0","4","0","0","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModelUnlock\AllowDevelopmentWithoutDevLicense"
"0.0000524","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\AutoplayHandlers\CancelAutoplay\Files"
"0.0000337","8","0","0","8","0","0","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\AutoplayHandlers\CancelAutoplay\Files\Imposta.exe"
"0.0000420","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FolderTypes\{de2b70ec-9bf7-4a93-bd3d-243f7881d492}"
"0.0000278","4","0","0","4","0","0","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FolderTypes\{de2b70ec-9bf7-4a93-bd3d-243f7881d492}\LayoutType"
"0.0000590","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\StartMenu\StartPanel\PinnedItems\Personal"
